PUZZLE,CATEGORY,,
YOU ONLY LIVE ONCE,Phrase,,
GEORGE C SCOTT,Person,,
THE PAINTED DESERT,Place,,
SO LONG UNTIL TOMORROW,Quotation,,
MENTAL TELEPATHY,Thing,,
JERRY LEWIS,Person,,
A STEP IN THE RIGHT DIRECTION,Phrase,,
READY AIM FIRE,Phrase,,
REACH OUT AND TOUCH SOMEONE,Quotation,,
THREE BLIND MICE,Fictional Characters,,
A MARRIAGE MADE IN HEAVEN,Phrase,,
ROCK HUDSON,Person,,
AT THE STROKE OF MIDNIGHT,Phrase,,
MARY MARY QUITE CONTRARY,Quotation,,
NIAGARA FALLS,Place,,
TAKEN TO THE CLEANERS,Phrase,,
SOUTH PACIFIC,Title,,
NEEDLEPOINT,Thing,,
MARRIAGE LICENSE,Thing,,
CHAPERON,Person,,
SWISS STEAK,Thing,,
GETTING AWAY WITH MURDER,Phrase,,
WOODROW WILSON,Person,,
CORNED BEEF AND CABBAGE,Things,,
JUMP FOR JOY,Phrase,,
WHAT YOU SEE IS WHAT YOU GET,Phrase,,
NASHVILLE TENNESSEE,Place,,
HELP WANTED,Phrase,,
THE NEW TESTAMENT,Title,,
ALEXANDER GRAHAM BELL,Person,,
LET BYGONES BE BYGONES,Phrase,,
FLEA MARKET,Place,,
ALLIGATOR,Thing,,
SAN JUAN PUERTO RICO,Place,,
EVERY SECOND COUNTS,Phrase,,
FRANKFURTERS AND SAUERKRAUT,Things,,
RHINESTONE,Thing,,
SOUNDS FISHY TO ME,Phrase,,
DOCTORS AND NURSES,People,,
MOVING RIGHT ALONG,Phrase,,
BASKETBALL TEAM,People,,
YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH,Phrase,,
TONGUE TWISTER,Thing,,
ANIMAL VEGETABLE OR MINERAL,Phrase,,
BUSINESS AS USUAL,Phrase,,
SCUTTLEBUTT,Phrase,,
YOU HAVE THE RIGHT TO REMAIN SILENT,Phrase,,
LEONARD NIMOY,Person,,
SCREWBALL,Person,,
PUTTING TWO AND TWO TOGETHER,Phrase,,
STEPHANIE POWERS,Person,,
MEMPHIS TENNESSEE,Place,,
LEAVE WELL ENOUGH ALONE,Phrase,,
I PLEDGE ALLEGIANCE TO THE FLAG,Quotation,,
WARREN BEATTY,Person,,
SIDE BY SIDE,Phrase,,
BACKWARD GLANCE,Thing,,
ALCOHOLICS ANONYMOUS,People,,
GENERATION GAP,Phrase,,
TRENCH COAT,Thing,,
CREAM OF MUSHROOM SOUP,Thing,,
PRESIDENTIAL INAUGURATION,Event,,
KEEP UP THE GOOD WORK,Phrase,,
DINNER IS SERVED,Phrase,,
BIGGER AND BETTER,Phrase,,
SOUTHERN HOSPITALITY,Phrase,,
NOTHING TO WRITE HOME ABOUT,Phrase,,
DINNER RESERVATIONS,Things,,
SEA OF GALILEE,Place,,
WAS IT SOMETHING I SAID,Phrase,,
FASHION PLATE,Person,,
DUE TO CIRCUMSTANCES BEYOND MY CONTROL,Phrase,,
MOUNT EVEREST,Landmark,,
NOTHING TO SNEEZE AT,Phrase,,
THE LIFE OF THE PARTY,Person,,
CREDIT CARDS,Things,,
FILET MIGNON,Thing,,
OVER THE RIVER AND THROUGH THE WOODS,Quotation,,
CABINET MEETING,Event,,
ANGEL FOOD CAKE,Thing,,
FAYE DUNAWAY,Person,,
BLESSED EVENT,Phrase,,
BEING IN THE RIGHT PLACE AT THE RIGHT TIME,Phrase,,
LEMON MERINGUE PIE,Thing,,
